iter	Passed	Remaining
646	3858	2105
647	3862	2098
648	3867	2091
649	3871	2084
650	3875	2077
651	3879	2070
652	3884	2064
653	3888	2057
654	3892	2050
655	3896	2043
656	3901	2036
657	3905	2029
658	3909	2023
659	3913	2016
660	3917	2009
661	3922	2002
662	3926	1995
663	3930	1989
664	3935	1982
665	3939	1975
666	3943	1968
667	3947	1962
668	3952	1955
669	3956	1948
670	3960	1941
671	3964	1935
672	3969	1928
673	3973	1921
674	3977	1915
675	3981	1908
676	3986	1901
677	3990	1895
678	3994	1888
679	3998	1881
680	4003	1875
681	4010	1870
682	4017	1864
683	4021	1857
684	4025	1851
685	4030	1844
686	4034	1838
687	4038	1831
688	4042	1824
689	4047	1818
690	4051	1811
691	4055	1805
692	4059	1798
693	4064	1792
694	4068	1785
695	4072	1778
696	4076	1772
697	4081	1765
698	4085	1759
699	4089	1752
700	4093	1746
701	4098	1739
702	4103	1733
703	4108	1727
704	4112	1720
705	4116	1714
706	4121	1707
707	4125	1701
708	4129	1694
709	4133	1688
710	4138	1682
711	4142	1675
712	4146	1669
713	4150	1662
714	4155	1656
715	4159	1649
716	4163	1643
717	4167	1637
718	4172	1630
719	4176	1624
720	4180	1617
721	4185	1611
722	4190	1605
723	4195	1599
724	4200	1593
725	4204	1587
726	4209	1580
727	4213	1574
728	4218	1568
729	4222	1561
730	4226	1555
731	4231	1549
732	4235	1542
733	4239	1536
734	4243	1530
735	4248	1523
736	4252	1517
737	4256	1511
738	4260	1504
739	4265	1498
740	4269	1492
741	4273	1485
742	4277	1479
743	4282	1473
744	4286	1467
745	4292	1461
746	4297	1455
747	4302	1449
748	4306	1443
749	4311	1437
750	4315	1430
751	4319	1424
752	4324	1418
753	4328	1412
754	4333	1406
755	4337	1399
756	4341	1393
757	4346	1387
758	4350	1381
759	4354	1375
760	4358	1368
761	4363	1362
762	4367	1356
763	4371	1350
764	4376	1344
765	4381	1338
766	4386	1332
767	4390	1326
768	4395	1320
769	4399	1314
770	4403	1308
771	4408	1301
772	4412	1295
773	4416	1289
774	4420	1283
775	4425	1277
776	4429	1271
777	4433	1265
778	4438	1259
779	4442	1252
780	4446	1246
781	4450	1240
782	4455	1234
783	4459	1228
784	4463	1222
785	4467	1216
786	4472	1210
787	4476	1204
788	4480	1198
789	4484	1192
790	4489	1186
791	4493	1180
792	4497	1174
793	4502	1168
794	4506	1162
795	4510	1156
796	4515	1150
797	4519	1144
798	4526	1138
799	4532	1133
800	4536	1127
801	4541	1121
802	4545	1115
803	4549	1109
804	4554	1103
805	4558	1097
806	4563	1091
807	4568	1085
808	4573	1079
809	4578	1073
810	4582	1067
811	4586	1061
812	4590	1055
813	4595	1050
814	4599	1044
815	4603	1038
816	4607	1032
817	4612	1026
818	4616	1020
819	4620	1014
820	4624	1008
821	4629	1002
822	4633	996
823	4637	990
824	4642	984
825	4646	978
826	4650	972
827	4654	966
828	4659	961
829	4663	955
830	4667	949
831	4671	943
832	4676	937
833	4680	931
834	4684	925
835	4688	919
836	4693	913
837	4697	908
838	4702	902
839	4706	896
840	4710	890
841	4714	884
842	4719	878
843	4723	873
844	4727	867
845	4731	861
846	4736	855
847	4740	849
848	4744	843
849	4749	838
850	4754	832
851	4758	826
852	4763	820
853	4768	815
854	4772	809
855	4777	803
856	4781	797
857	4785	792
858	4789	786
859	4795	780
860	4799	774
861	4805	769
862	4809	763
863	4813	757
864	4818	752
865	4822	746
866	4826	740
867	4831	734
868	4835	728
869	4840	723
870	4844	717
871	4848	711
872	4852	705
873	4857	700
874	4861	694
875	4865	688
876	4869	682
877	4873	677
878	4878	671
879	4882	665
880	4887	660
881	4891	654
882	4895	648
883	4900	643
884	4904	637
885	4909	631
886	4913	625
887	4917	620
888	4922	614
889	4927	608
890	4932	603
891	4940	598
892	4946	592
893	4950	587
894	4955	581
895	4959	575
896	4964	570
897	4969	564
898	4973	558
899	4978	553
900	4982	547
901	4987	541
902	4992	536
903	4996	530
904	5001	524
905	5005	519
906	5009	513
907	5013	508
908	5018	502
909	5022	496
910	5026	491
911	5031	485
912	5035	479
913	5039	474
914	5043	468
915	5048	462
916	5052	457
917	5057	451
918	5061	446
919	5065	440
920	5070	434
921	5074	429
922	5078	423
923	5083	418
924	5087	412
925	5091	406
926	5095	401
927	5100	395
928	5104	390
929	5108	384
930	5113	378
931	5117	373
932	5122	367
933	5127	362
934	5132	356
935	5136	351
936	5140	345
937	5145	340
938	5149	334
939	5153	328
940	5157	323
941	5162	317
942	5166	312
943	5170	306
944	5175	301
945	5179	295
946	5183	290
947	5188	284
948	5192	279
949	5196	273
950	5200	267
951	5205	262
952	5209	256
953	5213	251
954	5217	245
955	5222	240
956	5226	234
957	5230	229
958	5234	223
959	5239	218
960	5243	212
961	5247	207
962	5251	201
963	5256	196
964	5260	190
965	5264	185
966	5268	179
967	5273	174
968	5277	168
969	5281	163
970	5286	157
971	5290	152
972	5296	146
973	5301	141
974	5306	136
975	5312	130
976	5317	125
977	5321	119
978	5325	114
979	5330	108
980	5334	103
981	5338	97
982	5343	92
983	5347	86
984	5351	81
985	5355	76
986	5360	70
987	5364	65
988	5368	59
989	5372	54
990	5377	48
991	5381	43
992	5385	37
993	5389	32
994	5394	27
995	5398	21
996	5402	16
997	5406	10
998	5411	5
999	5415	0
